,,원남면,71,143,255536.588,533121.286
,,원동면,73,143,265889.886,533778.509
,,임남면,75,143,274844.375,532449.718
,,철원읍,64,141,218756.059,522972.117
,춘천시,,73,134,264362.456,486471.811
,,강남동,72,133,263505.924,484682.923
,,교동,73,134,264891.910,486400.422
,,근화동,72,134,262793.693,486399.263
,,남면,70,130,252995.966,469835.419
,,남산면,71,132,257040.499,476487.788
,,동내면,73,133,267119.814,482784.400
,,동면,73,134,268834.259,489725.936
,,동산면,74,131,270300.833,472199.764
,,북산면,75,136,277962.896,498363.547
,,사북면,71,137,256388.347,502911.346
,,서면,72,134,261069.125,488382.826
,,석사동,73,133,265451.974,483954.113
,,소양동,73,134,263856.472,486638.079
,,신동면,72,132,263172.126,479399.046
,,신북읍,73,135,265735.211,491434.125
,,신사우동,73,134,264148.590,489201.174
,,약사명동,73,134,263892.168,485943.343
,,조운동,73,134,264375.545,486266.863
,,퇴계동,73,133,264024.784,484604.302
,,효자1동,73,133,264151.111,485459.403
,,효자2동,73,133,264915.693,485491.603
,,효자3동,73,134,265358.034,485933.570
,,후평1동,73,134,265969.927,486896.487
,,후평2동,73,134,266158.395,486070.084
,,후평3동,73,134,266450.548,485970.065
,태백시,,95,119,376524.748,408452.593
,,구문소동,95,117,379916.031,401416.703
,,문곡소도동,94,118,374350.948,404784.761
,,삼수동,95,119,375789.893,410258.130
,,상장동,95,119,376988.965,407272.555
,,장성동,95,117,378671.049,401433.785
,,철암동,96,118,381443.700,403356.060
,,황연동,95,119,376575.501,410083.920
,,황지동,95,119,377034.457,409210.087
,평창군,,84,123,323273.623,430452.104
,,대관령면,89,130,350665.317,464545.377
,,대화면,85,126,329071.347,444990.069
,,미탄면,86,122,332687.314,427406.204
,,방림면,84,124,323548.431,436641.485
,,봉평면,84,128,321937.648,457685.014
,,용평면,85,128,327308.455,456711.216
,,진부면,87,129,337229.631,460276.103
,,평창읍,84,123,323910.602,430253.652
,홍천군,,75,130,278504.135,466155.899
,,남면,73,128,267901.153,457277.686
,,내면,84,132,322578.671,475194.450
,,내촌면,79,132,295837.993,479548.011
,,두촌면,78,134,289800.100,485308.208
,,북방면,75,130,275362.640,467055.775
,,서면,72,129,258700.645,465039.219
,,서석면,81,130,304725.793,468258.638
,,영귀미면,76,129,282624.648,464071.116
,,홍천읍,75,130,278514.025,465862.136
,,화촌면,77,131,285322.062,474407.137
,화천군,,72,139,262241.097,511417.144
,,간동면,74,137,269465.911,505823.438
,,사내면,69,138,246053.517,507314.352
,,상서면,71,140,257488.619,517118.340
,,하남면,71,138,258741.123,506136.271
,,화천읍,72,139,262148.121,511211.687
,횡성군,,77,125,287243.909,443435.445
,,갑천면,79,127,298224.465,451240.931
,,강림면,80,123,299836.311,428974.990
,,공근면,77,126,285133.238,448376.469
,,둔내면,81,126,307891.719,445950.266
,,서원면,75,125,275352.075,442799.743
,,안흥면,80,124,302483.293,434809.938
,,우천면,79,125,294132.896,439916.160
,,청일면,80,127,301745.492,453809.081
,,횡성읍,77,125,287914.351,443513.094
경기도,,,60,120,200969.132,418883.686
,가평군,,69,133,244990.071,480825.324
,,가평읍,69,132,245602.322,480138.944
,,북면,70,134,248531.070,486846.492
,,상면,66,132,231539.194,477776.318
,,설악면,69,129,243764.185,463571.879
,,조종면,66,132,231228.731,479206.689
,,청평면,67,131,237514.480,470670.929
,고양시덕양구,,57,128,185298.574,459156.606
,,고양동,59,130,191639.116,466469.096
,,관산동,58,129,187997.312,464773.630
,,능곡동,57,128,183991.507,457796.020
,,대덕동,58,127,189106.006,453387.739
,,삼송1동,58,129,190557.297,461145.494
,,삼송2동,58,129,188474.761,460947.055
,,성사1동,57,129,186121.711,461053.743
,,성사2동,57,128,185377.426,460883.004
,,원신동,58,129,189178.480,463605.937
,,주교동,57,129,185084.586,461609.298
,,창릉동,58,128,190142.885,460059.136
,,행신1동,57,128,185632.276,457480.966
,,행신2동,57,128,185375.802,456683.517
,,행신3동,57,128,185890.101,457953.464
,,행신4동,58,128,186251.869,457376.321
,,행주동,57,128,184699.562,457050.099
,,화전동,58,127,188870.713,455011.295
,,화정1동,57,128,185425.540,459958.294
,,화정2동,57,128,185629.717,458397.267
,,효자동,59,128,193109.931,460748.840
,,흥도동,58,128,187268.503,459993.444
,고양시일산동구,,56,129,180260.497,461534.105
,,가좌동,55,129,175317.435,464721.264
,,고봉동,57,130,184880.545,466319.146
,,덕이동,56,129,178263.250,465424.434
,,마두1동,57,129,181566.506,461211.961
,,마두2동,56,128,181098.476,460965.452
,,백석1동,57,128,181804.233,460527.902
,,백석2동,57,128,181297.768,459781.695
,,식사동,57,129,183356.119,463223.563
,,장항1동,56,128,179859.484,459638.653
,,장항2동,56,128,180553.299,460555.131
,,정발산동,56,129,180696.238,463059.831
,,중산1동,56,129,180568.036,465516.365
,,중산2동,56,129,181052.984,463591.322
